 sceID, scenario, algID, algorithm, datasetID: MF1_mu, MF1_sigma, Patn_mu, Patn_sigma, AP_mu, AP_sigma, ROC_mu, ROC_sigma
 0, sty-small-stc, 0, approxSTORM, 19: 0.728000, 0.239000, 0.639000, 0.286000, 0.673000, 0.282000, 0.920000, 0.098000 
 0, sty-small-stc, 1, exactSTORM, 19: 0.734000, 0.235000, 0.644000, 0.282000, 0.672000, 0.281000, 0.924000, 0.091000 
 0, sty-small-stc, 2, simpleCod, 19: 0.740000, 0.234000, 0.652000, 0.283000, 0.682000, 0.284000, 0.926000, 0.090000 
 0, sty-small-stc, 3, abstractC, 19: 0.734000, 0.235000, 0.644000, 0.281000, 0.680000, 0.278000, 0.924000, 0.091000 
 0, sty-small-stc, 4, mcod, 19: 0.830000, 0.195000, 0.726000, 0.325000, 0.710000, 0.371000, 0.949000, 0.098000 
 1, seq-small-stc, 0, approxSTORM, 19: 0.785000, 0.227000, 0.717000, 0.288000, 0.749000, 0.303000, 0.929000, 0.080000 
 1, seq-small-stc, 1, exactSTORM, 19: 0.793000, 0.222000, 0.706000, 0.300000, 0.751000, 0.320000, 0.933000, 0.076000 
 1, seq-small-stc, 2, simpleCod, 19: 0.788000, 0.224000, 0.717000, 0.295000, 0.755000, 0.313000, 0.934000, 0.076000 
 1, seq-small-stc, 3, abstractC, 19: 0.777000, 0.224000, 0.701000, 0.297000, 0.740000, 0.319000, 0.932000, 0.077000 
 1, seq-small-stc, 4, mcod, 19: 0.841000, 0.177000, 0.769000, 0.255000, 0.749000, 0.298000, 0.946000, 0.086000 
 2, nos-small-stc, 0, approxSTORM, 19: 0.694000, 0.254000, 0.577000, 0.321000, 0.595000, 0.332000, 0.902000, 0.122000 
 2, nos-small-stc, 1, exactSTORM, 19: 0.708000, 0.252000, 0.585000, 0.326000, 0.588000, 0.343000, 0.906000, 0.114000 
 2, nos-small-stc, 2, simpleCod, 19: 0.708000, 0.246000, 0.591000, 0.321000, 0.592000, 0.341000, 0.909000, 0.112000 
 2, nos-small-stc, 3, abstractC, 19: 0.699000, 0.246000, 0.577000, 0.319000, 0.571000, 0.336000, 0.905000, 0.114000 
 2, nos-small-stc, 4, mcod, 19: 0.782000, 0.216000, 0.673000, 0.329000, 0.663000, 0.371000, 0.926000, 0.132000 
